	自治体名	現行計画名	策定・改定年月	data1	data2	対象期間
1	岐阜市	第3次岐阜市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和4年2月	令和4年2月1日	202202	推進計画期間は、令和４年度から令和８年度までの５年間とします。
2	羽島市	羽島市子ども読書活動推進計画（第3次）（公開ページ＜外部リンク＞）	令和5年3月	令和5年3月1日	202303	推進期間は、令和５年度を計画初年度として、令和９年度までの５年間とします。
3	各務原市	各務原市子どもの読書活動推進計画（第3次）（公開ページ＜外部リンク＞）	令和5年3月	令和5年3月1日	202303	"第 3 次計画における計画期間は、令和 5 年度（ 2023 年）から令和 9 年度（ 2027
年）までの 5 年間として読書環境の整備に努めます。また、この計画終了後は必要に応"
4	山県市	第3次山県市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和5年4月	令和5年4月1日	202304	期間は、令和５年度（２０２３年４月）から令和９年度末（２０２８年３月）までの５年間とする。
5	瑞穂市	第三次瑞穂市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和4年3月	令和4年3月1日	202203	本計画の期間は令和４年度からおおむね５年間とし、必要に応じて見直しを行うものとします。
6	本巣市	第四次本巣市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和6年3月	令和6年3月1日	202403	計画の期間は、２０２４年度から２０２８年度までの5年間とし、必要に応じて計画の見直しを行います。
7	岐南町	岐南町子どもの読書活動推進計画	平成25年3月	平成25年3月1日	201303	-
8	笠松町	笠松町子どもの読書活動推進計画	平成24年3月	平成24年3月1日	201203	-
9	北方町	北方町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成25年4月	平成25年4月1日	201304	リンク切れ
10	大垣市	大垣市第2次教育振興基本計画（図書館活用分野）（公開ページ＜外部リンク＞）	令和2年3月	令和2年3月1日	202003	大垣市第２次教育振興基本計画の基本理念・基本方針の計画期間は、令和２年から10年間です。
11	海津市	海津市子ども読書活動推進計画	令和3年4月	令和3年4月1日	202104	-
12	養老町	養老町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成31年2月	平成31年2月1日	201902	この計画の期間は、平成３１年（2019年）度から平成３３年（2021年）度までとします。 
13	垂井町	垂井町第三次子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和6年3月	令和6年3月1日	202403	この計画の期間は、令和６年度から令和10年度までの５年間とします。
14	関ケ原町	関ケ原町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成28年3月	平成28年3月1日	201603	NONE
15	神戸町	第二次神戸町子どもの読書活動推進計画（公開ページ＜外部リンク＞)	平成27年10月	平成27年10月1日	201510	概ね今後５年間の神戸町における子どもの読書活動を推進していくための総合的な指針として定めるものです。 
16	輪之内町	輪之内町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和3年7月	令和3年7月1日	202107	計画の期間は、令和3年度（2021）から令和7年度（2025）までの5年間とします。
17	安八町	安八町子どもの読書推進計画（公開ページ＜外部リンク＞）	平成28年3月	平成28年3月1日	201603	記載なし
18	揖斐川町	揖斐川町子どもの読書活動推進計画	平成21年3月	平成21年3月1日	200903	-
19	大野町	大野町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和3年2月	令和3年2月1日	202102	平成２８年度から平成３２年度までの５年間とします。
20	池田町	池田町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成29年3月	平成29年3月1日	201703	概ね平成２９年度から平成３３年度の５年間とします。 
21	関市	関市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和3年6月	令和3年6月1日	202106	記載なし
22	美濃市	美濃市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成27年3月	平成27年3月1日	201503	記載なし
23	郡上市	第三次郡上市子ども読書活動推進計画（公開ページ＜外部リンク＞）	令和2年4月	令和2年4月1日	202004	計画期間は，20２５年度（令和７年度）～202９年度（令和１１年度）までの５年間とします。
24	美濃加茂市	美濃加茂市子ども読書推進計画（公開ページ＜外部リンク＞）	平成18年3月	平成18年3月1日	200603	本計画は平成１８年度を初年度とし、平成２２年度までの５年間とします。 
25	可児市	可児市子どもの読書活動推進計画（第4次改訂版）（公開ページ＜外部リンク＞）	令和5年10月	令和5年10月1日	202310	令和７年度（2025年度）～令和11年度（2029年度）の５年間 
26	坂祝町	第4次坂祝町子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和6年3月	令和6年3月1日	202403	２０２４年度から２０２８年度の５年間とします。 
27	富加町	富加町子どもの読書活動推進計画（第四次）	令和3年4月	令和3年4月1日	202104	-
28	川辺町	川辺町子どもの読書活動推進計画	令和元年8月	令和元年8月1日	201908	-
29	七宗町	七宗町子どもの読書活動推進計画（第3次）	令和2年4月	令和2年4月1日	202004	-
30	八百津町	八百津町子どもの読書活動推進計画	平成25年8月	平成25年8月1日	201308	-
31	白川町	第3次白川町子どもの読書活動推進計画	令和4年3月	令和4年3月1日	202203	-
32	東白川村	東白川村子どもの読書活動推進計画	平成24年3月	平成24年3月1日	201203	-
33	御嵩町	御嵩町子ども読書活動推進計画（第3次）	令和5年4月	令和5年4月1日	202304	-
34	多治見市	多治見市子どもの読書活動推進計画	平成31年3月	平成31年3月1日	201903	-
35	中津川市	第三次中津川市子ども読書活動推進計画（公開ページ＜外部リンク＞）	令和5年12月	令和5年12月1日	202312	本計画の期間は、「中津川市総合計画」及び「中津川市教育振興基本計画」の後期実施計画期間を踏まえ、令和５年度から令和８年度までとします。 
36	恵那市	恵那市こどもの読書活動推進計画（第四次）（公開ページ＜外部リンク＞）	令和6年3⽉	令和6年3⽉1日	202403	この計画の期間は、令和６年度から令和10 年度までの５年間とします。 
37	瑞浪市	瑞浪市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成24年7月	平成24年7月1日	201207	なお、本推進計画については、平成２３年度を基準とし、平成２８年度までの５年間を見通して策定しています。 
38	土岐市	土岐市読書推進計画（公開ページ＜外部リンク＞）	令和3年3月	令和3年3月1日	202103	本計画の期間は、令和３年度から令和７年度までの５年間とします。
39	高山市	高山市子ども読書推進計画（第三次）（公開ページ＜外部リンク＞）	令和2年3月	令和2年3月1日	202003	リンク切れ
40	飛騨市	飛騨市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	平成28年2月	平成28年2月1日	201602	リンク切れ
41	下呂市	下呂市子どもの読書活動推進計画（公開ページ＜外部リンク＞）	令和3年12月	令和3年12月1日	202112	当面の計画の期間は令和3年から令和7年までの5ヶ年とします。 
42	白川村	白川村子どもの読書活動推進計画	平成29年4月	平成29年4月1日	201704	-
